Element,X,y
inst_82606,101,180
inst_8269,101,180
inst_14381,101,180
inst_96888,101,180
inst_84748,101,60
inst_28880,101,180
inst_62657,101,210
inst_7539,101,60
inst_13667,101,120
inst_21662,101,210
inst_90974,101,120
inst_36385,101,210
inst_75166,101,210
inst_98610,101,120
inst_80251,101,210
inst_6480,101,210
inst_12360,101,60
inst_78367,101,120
inst_92999,101,120
inst_93498,101,120
inst_48994,101,60
inst_52261,101,210
inst_32180,101,60
inst_4020,101,90
inst_60072,101,180
inst_102998,101,180
inst_53565,101,120
inst_75034,101,210
inst_53962,101,120
inst_12093,101,60
inst_66353,101,180
inst_42114,101,210
inst_23847,101,150
inst_11943,101,60
inst_20206,101,210
inst_45323,101,180
inst_93146,101,120
inst_26062,101,150
inst_61141,101,210
inst_48222,101,60
inst_72661,101,120
inst_90132,101,150
inst_40890,101,60
inst_57863,101,180
inst_86364,101,150
inst_51774,101,120
inst_43517,101,180
inst_33221,101,120
inst_97064,101,120
inst_81620,101,60
inst_87863,101,60
inst_4783,101,150
inst_26802,101,60
inst_77592,101,120
inst_93709,101,210
inst_61454,101,60
inst_21258,101,150
inst_79663,101,150
inst_20835,101,210
inst_56403,101,60
inst_42156,101,60
inst_101947,101,60
inst_90872,101,120
inst_37761,101,60
inst_9828,101,180
inst_24526,101,210
inst_80392,101,210
inst_52309,101,60
inst_39565,101,60
inst_8770,101,60
inst_97209,101,180
inst_55640,101,180
inst_9421,101,60
inst_19833,101,210
inst_72394,101,180
inst_22156,101,90
inst_80808,101,90
inst_52022,101,60
inst_85799,101,150
inst_66478,101,60
inst_55807,101,120
inst_14632,101,90
inst_79179,101,180
inst_102889,101,180
inst_67808,101,210
inst_41153,101,60
inst_32433,101,180
inst_54241,101,120
inst_37757,101,60
inst_70661,101,120
inst_67078,101,120
inst_77684,101,120
inst_35811,101,120
inst_36158,101,120
inst_7695,101,60
inst_742,101,120
inst_18009,101,180
inst_103993,101,60
inst_45854,101,120
inst_95458,101,150
inst_93625,101,60
inst_42242,101,120
inst_31500,101,180
inst_1855,101,60
inst_66719,101,90
inst_1351,101,150
inst_69576,101,120
inst_59460,101,120
inst_64571,101,210
inst_13614,101,60
inst_99800,101,150
inst_64490,101,210
inst_66381,101,210
inst_39689,101,210
inst_44477,101,120
inst_37422,101,180
inst_2283,101,210
inst_59428,101,180
inst_92472,101,120
inst_78692,101,120
inst_79578,101,90
inst_103330,101,210
inst_32946,101,60
inst_49261,101,60
inst_74057,101,210
inst_80243,101,210
inst_56811,101,180
inst_30430,101,210
inst_6152,101,120
inst_42888,101,60
inst_67905,101,210
inst_98581,101,180
inst_94020,101,150
inst_83993,101,120
inst_35729,101,120
inst_39919,101,60
inst_19973,101,210
inst_95528,101,150
inst_22970,101,90
inst_102922,101,120
inst_80089,101,120
inst_26329,101,150
inst_89072,101,210
inst_67530,101,210
inst_49385,101,60
inst_37286,101,120
inst_74606,101,180
inst_29133,101,150
inst_58498,101,180
inst_27785,101,180
inst_87600,101,60
inst_87022,101,150
inst_8779,101,60
inst_89381,101,60
inst_102159,101,210
inst_64994,101,120
inst_45654,101,210
inst_20385,101,210
inst_29189,101,150
inst_39436,101,60
inst_7603,101,90
inst_14317,101,180
inst_51062,101,210
inst_78664,101,90
inst_7472,101,120
inst_40207,101,210
inst_70431,101,180
inst_91549,101,120
inst_95369,101,90
inst_36045,101,120
inst_85314,101,150
inst_23310,101,210
inst_861,101,120
inst_98400,101,180
inst_76791,101,150
inst_8060,101,120
inst_101998,101,120
inst_12564,101,210
inst_13881,101,60
inst_73658,101,60
inst_9874,101,120
inst_80721,101,210
inst_58963,101,180
inst_15429,101,150
inst_49545,101,120
inst_51845,101,120
inst_84675,101,60
inst_32507,101,60
inst_86489,101,60
inst_3920,101,60
inst_62426,101,210
inst_101557,101,120
inst_88236,101,150
inst_42490,101,60
inst_87061,101,150
inst_7162,101,60
inst_74074,101,210
inst_72127,101,60
inst_54027,101,120
inst_26638,101,150
inst_51522,101,120
inst_31354,101,180
inst_33966,101,120
inst_474,101,210
inst_47678,101,60
inst_97695,101,120
inst_50598,101,120
inst_22911,101,210
inst_83232,101,180
inst_9127,101,120
inst_29288,101,210
inst_52038,101,180
inst_42932,101,120
inst_90108,101,120
inst_79308,101,120
inst_102815,101,180
inst_76963,101,120
inst_55241,101,120
inst_46665,101,120
inst_28054,101,210
inst_83239,101,180
inst_20768,101,210
inst_41231,101,120
inst_53996,101,120
inst_13097,101,60
inst_6635,101,210
inst_35505,101,120
inst_82839,101,180
inst_47462,101,60
inst_88216,101,150
inst_93760,101,60
inst_62196,101,90
inst_45391,101,210
inst_58993,101,180
inst_16876,101,90
inst_67509,101,210
inst_37136,101,120
inst_1027,101,120
inst_65818,101,60
inst_8010,101,60
inst_79811,101,120
inst_57906,101,180
inst_25041,101,180
inst_56050,101,120
inst_36204,101,210
inst_75021,101,210
inst_12012,101,180
inst_43126,101,120
inst_78904,101,120
inst_51390,101,210
inst_69138,101,180
inst_80727,101,210
inst_14261,101,180
inst_11653,101,60
inst_25742,101,60
inst_38292,101,60
inst_9975,101,60
inst_78308,101,60
inst_91659,101,210
inst_71810,101,90
inst_89771,101,120
inst_101299,101,60
inst_16177,101,180
inst_18789,101,60
inst_39747,101,120
inst_54952,101,120
inst_42507,101,120
inst_89233,101,60
inst_24942,101,150
inst_34269,101,210
inst_68916,101,180
inst_69468,101,120
inst_80454,101,150
inst_84500,101,60
inst_83421,101,60
inst_65541,101,60
inst_44300,101,180
inst_58714,101,150
inst_19301,101,180
inst_58779,101,60
inst_89469,101,150
inst_38742,101,120
inst_33753,101,60
inst_80316,101,60
inst_3341,101,210
inst_65426,101,90
inst_48800,101,150
inst_19861,101,210
inst_57831,101,180
inst_66317,101,210
inst_44774,101,210
inst_26163,101,210
inst_39922,101,180
inst_49113,101,150
inst_39129,101,60
inst_57058,101,180
inst_5913,101,120
inst_80212,101,180
inst_13337,101,60
inst_22128,101,90
inst_90386,101,120
inst_51993,101,120
inst_73905,101,60
inst_88423,101,60
inst_42310,101,180
inst_99934,101,150
inst_2515,101,60
inst_65337,101,60
inst_90465,101,120
inst_85801,101,150
inst_87960,101,180
inst_14393,101,180
inst_22068,101,120
inst_86578,101,150
inst_83477,101,120
inst_62445,101,210
inst_24827,101,180
inst_75482,101,60
inst_86166,101,150
inst_78415,101,120
inst_57771,101,120
inst_1242,101,210
inst_60286,101,60
inst_71766,101,210
inst_91859,101,120
inst_50696,101,150
inst_20351,101,60
inst_104114,101,60
inst_70005,101,60
inst_55919,101,120
inst_11726,101,210
inst_88890,101,60
inst_31321,101,120
inst_50579,101,180
inst_4294,101,150
inst_67597,101,180
inst_8037,101,120
inst_2112,101,150
inst_80699,101,210
inst_18486,101,120
inst_89892,101,120
inst_24484,101,60
inst_26754,101,150
inst_84799,101,120
inst_1308,101,150
inst_57200,101,150
inst_76324,101,120
inst_64745,101,120
inst_14719,101,90
inst_56011,101,120
inst_28987,101,90
inst_64439,101,120
inst_29297,101,180
inst_54422,101,120
inst_87793,101,120
inst_44483,101,120
inst_61845,101,210
inst_17238,101,90
inst_539,101,180
inst_18168,101,90
inst_12606,101,210
inst_90576,101,150
inst_33281,101,180
inst_37192,101,180
inst_99144,101,150
inst_47358,101,60
inst_102734,101,180
inst_1271,101,210
inst_14280,101,180
inst_80931,101,180
inst_58659,101,180
inst_25740,101,180
inst_73963,101,210
inst_90912,101,120
inst_32041,101,180
inst_75608,101,150
inst_3722,101,150
inst_66792,101,120
inst_2914,101,180
inst_47696,101,60
inst_52300,101,210
inst_31054,101,180
inst_6283,101,120
inst_69236,101,210
inst_20811,101,210
inst_45585,101,120
inst_63505,101,120
inst_76173,101,210
inst_41816,101,60
inst_81139,101,60
inst_40960,101,180
inst_72233,101,60
inst_36474,101,60
inst_7666,101,60
inst_55352,101,120
inst_4679,101,210
inst_45596,101,60
inst_69631,101,60
inst_48003,101,60
inst_6740,101,180
inst_59560,101,120
inst_39003,101,120
inst_34971,101,210
inst_45755,101,210
inst_63922,101,120
inst_93967,101,150
inst_2746,101,120
inst_58596,101,180
inst_59406,101,180
inst_52082,101,60
inst_4680,101,210
inst_65396,101,90
inst_27153,101,210
inst_67052,101,120
inst_67650,101,180
inst_47445,101,60
inst_23266,101,90
inst_15402,101,60
inst_23702,101,60
inst_90904,101,120
inst_13235,101,210
inst_69772,101,60
inst_62935,101,210
inst_40113,101,60
inst_49791,101,120
inst_105206,101,120
inst_7287,101,180
inst_80930,101,180
inst_83553,101,180
inst_78119,101,120
inst_100812,101,60
inst_49508,101,60
inst_62191,101,90
inst_5604,101,120
inst_3444,101,60
inst_103356,101,60
inst_48437,101,60
inst_36092,101,210
inst_35378,101,120
inst_38665,101,60
inst_87325,101,210
inst_74261,101,180
inst_100345,101,180
inst_78670,101,120
inst_49815,101,180
inst_104409,101,60
inst_80706,101,210
inst_68772,101,60
inst_20453,101,210
inst_46064,101,60
inst_27307,101,180
inst_13347,101,180
inst_30335,101,180
inst_28563,101,210
inst_50587,101,150
inst_25516,101,120
inst_82359,101,150
inst_44041,101,60
inst_81310,101,120
inst_15346,101,60
inst_9216,101,180
inst_39911,101,120
inst_38463,101,60
inst_82444,101,150
inst_32849,101,180
inst_16913,101,90
inst_56924,101,210
inst_53097,101,120
inst_90484,101,120
inst_27139,101,210
inst_39932,101,120
inst_56174,101,120
inst_25750,101,60
inst_28652,101,210
inst_28773,101,180
inst_40684,101,60
inst_52289,101,210
inst_4338,101,120
inst_13501,101,60
inst_16258,101,150
inst_31233,101,180
inst_80199,101,210
inst_84063,101,210
inst_3894,101,60
inst_102078,101,60
inst_44562,101,120
inst_31254,101,210
inst_52501,101,120
inst_44106,101,60
inst_60999,101,60
inst_6758,101,120
inst_68919,101,180
inst_25538,101,210
inst_62232,101,210
inst_41025,101,60
inst_22392,101,150
inst_26191,101,210
inst_57893,101,180
inst_72800,101,120
inst_40607,101,120
inst_31060,101,60
inst_46789,101,210
inst_76887,101,60
inst_79011,101,120
inst_11359,101,120
inst_42672,101,120
inst_6700,101,180
inst_40157,101,210
inst_69114,101,180
inst_90342,101,210
inst_84943,101,210
inst_37501,101,180
inst_91082,101,150
inst_86831,101,150
inst_102100,101,180
inst_59503,101,150
inst_10650,101,60
inst_67405,101,90
inst_85824,101,150
inst_46556,101,210
inst_65949,101,120
inst_104743,101,120
inst_46796,101,60
inst_17898,101,120
inst_48649,101,180
inst_10789,101,60
inst_55471,101,120
inst_33900,101,150
inst_41564,101,60
inst_83904,101,120
inst_45778,101,120
inst_36335,101,60
inst_3855,101,180
inst_86832,101,150
inst_7119,101,120
inst_99433,101,150
inst_60646,101,210
inst_6047,101,60
inst_60851,101,210
inst_10149,101,60
inst_56389,101,120
inst_11492,101,180
inst_101077,101,210
inst_104684,101,60
inst_82193,101,120
inst_74704,101,180
inst_30204,101,180
inst_82197,101,60
inst_9739,101,180
inst_1771,101,210
inst_5363,101,180
inst_1625,101,60
inst_33888,101,150
inst_75918,101,120
inst_24671,101,210
inst_103427,101,60
inst_270,101,150
inst_18927,101,210
inst_84034,101,120
inst_58847,101,180
inst_26634,101,210
inst_70257,101,180
inst_34190,101,180
inst_74361,101,180
inst_5011,101,120
inst_51645,101,120
inst_2374,101,60
inst_49759,101,120
inst_70791,101,180
inst_18644,101,210
inst_23059,101,150
inst_104921,101,210
inst_28312,101,180
inst_64374,101,210
inst_30004,101,90
inst_51153,101,210
inst_90914,101,120
inst_56800,101,180
inst_101440,101,210
inst_16542,101,90
inst_2471,101,60
inst_37100,101,60
inst_35943,101,180
inst_32718,101,180
inst_43781,101,120
inst_62158,101,90
